Ans,Msg
"Вы можете выбрать номер при заключении договора на оказание услуг связи или заменить свой номер телефона.\nПодберите красивый, легко запоминающийся номер в интернет-магазине или обратитесь в салон МегаФона.\nСтоимость выбора номера зависит от класса номера – Простой, Бронзовый, Серебряный, Золотой, Платиновый и типа нумерации – федеральная или городская. Подробнее о стоимости номера в описании услуги Выбор номера.\nОбратите внимание:\nВ интернет-магазине нельзя выбрать номер на замену прежнему с сохранением всех данных, возможно только подключение новой SIM-карты с новым номером.\nВ рамках одного заказа можно забронировать от одного до пяти номеров. Номер интернет-магазина 8 800 550-58-58, звонок на территории России бесплатный.","Можно ли выбрать красивый и запоминающийся номер?"
"Воспользуйтесь услугой Ваш новый номер.\nУслуга работает в двух режимах:\nодносторонний: звонивший услышит сообщение «Аппарат абонента выключен или находится вне зоны действия сети»;\nдвусторонний режим: звонившему придёт SMS с вашим новым номером.\nПри любом выбранном режиме вам придёт SMS с номером человека, который звонил на ваш прежний номер.\nУслуга не работает, если баланс на старом номере отрицательный или нулевой, а также если старая SIM-карта заблокирована.","Как сообщить знакомым, что мой номер телефона изменился?"
"Чтобы проверить список услуг:\nЗайдите в Личный кабинет и выберите Услуги и опции. Во вкладке «Мои» вы увидите список услуг, подключённых на вашем номере.\nНаберите на телефоне бесплатную команду *583#. Вы получите SMS с информацией о действующих на номере платных услугах.","Какие услуги подключены на моём номере?"
"Чтобы узнать о последних расходах, воспользуйтесь любым удобным способом:\nЗайдите в Личный кабинет и перейдите в раздел «Расходы, пополнения и детализация». Во вкладке «Расходы» указана информация о расходах за текущий месяц. Отчёт о расходах за другой период вы можете получить, заказав детализацию или счёт.\nНаберите бесплатную команду *512# и вы получите SMS с информацией о последних списаниях со счёта.","Как узнать, за что были списаны деньги со счёта?"
"Воспользуйтесь любым удобным способом:\nЗайдите в раздел Остатки по пакетам услуг в Личном кабинете.\nОткройте приложение МегаФон.\nНастройте виджет.\nВиджет — элемент приложения «МегаФон» Личный кабинет. Не обязательно заходить в приложение — остатки минут, SMS, мегабайт, баланс Лицевого счёта и бонусы будут отображаться на экране вашего смартфона.\nДля работы виджета установите на смартфон/планшет приложение «МегаФон» Личный кабинет. Для ОС Android приложение должно быть установлено в памяти смартфона, а не в памяти SD. Зайдите в настройки вашего смартфона и активируйте виджет.\nВнешний вид виджета и количество остатков, которые одновременно будут отображаться на экране смартфона, отличаются в зависимости от ОС.","Как узнать, сколько у меня осталось минут / SMS / мегабайт по тарифу или опции?"
"Список команд для управления услугами представлен на странице Полезные команды.","Где посмотреть команды для управления тарифами и услугами?"
"Воспользуйтесь любым доступным способом:\nЗайдите в Личный кабинет и в разделе «Услуги» выберите Услуги и опции. В подразделе «Мои» отобразится список подключённых услуг с возможностью их отключения. В подразделе «Все доступные» — услуги, доступные для подключения.\nНаберите бесплатную команду *105#, и на экране вашего устройства появится меню. Для перемещения по меню введите номер нужного пункта и нажмите кнопку «Вызов». Далее отобразится меню, где также можно выбирать пункты и управлять услугами.","Как легко управлять мобильным счётом, услугами и опциями?"
"Воспользуйтесь услугой Мобильный перевод:\n*133*сумма перевода*номер абонента#.\nЗа каждый перевод списывается комиссия. Размер комиссии за перевод указывается при каждом платеже.","Как перевести другому абоненту деньги со своего мобильного счёта?"
"Мобильный интернет — это современный и быстрый доступ к глобальной сети с помощью обычной SIM-карты МегаФона и мобильного устройства. Это может быть недорогой компактный телефон, новейший смартфон, планшет или ноутбук. Мобильный интернет подключён на всех номерах МегаФона по умолчанию.","Что такое мобильный интернет?"
"Если не работает мобильный интернет на смартфоне / планшете:\nПроверьте баланс и при необходимости пополните его. Чтобы проверить баланс, наберите команду *100# или зайдите в Личный кабинет. Интернет работает только при положительном балансе. Если вы недавно пополнили счёт, подождите несколько минут, чтобы интернет заработал снова.\nПроверьте остаток по пакету интернета. Откройте приложение МегаФон или зайдите в Личный кабинет и в блоке «Услуги» выберите Остатки по пакетам услуг. Если включённый объём интернета закончился, подключите одну из опций для продления интернета.\nПерезагрузите устройство (выключите и включите).\nУбедитесь, что у вас включён режим «Передача данных». Проверить это можно в настройках смартфона или планшета в разделе «Передача данных», «Соединение для передачи данных» или «Мобильная сеть» (название может отличаться в разных устройствах).\nОтключите Wi-Fi на смартфоне / планшете (при использовании роутера от МегаФона Wi-Fi должен оставаться включённым).\nПроверьте, подключена ли у вас услуга «Мобильный интернет». Для этого зайдите в Личный кабинет и в блоке «Услуги» выберите Услуги и опции или наберите на своём смартфоне/планшете бесплатный запрос *105*15# и выберите нужный пункт в меню на экране устройства.\nПереставьте SIM-карту в другое устройство. Если в другом устройстве мобильный интернет тоже не работает, обратитесь в ближайший салон МегаФона с документом, удостоверяющим личность, чтобы заменить SIM-карту. При замене SIM-карты номер телефона не изменится, услуга предоставляется бесплатно. Для поиска ближайшего салона МегаФона вы также можете воспользоваться командой *123#.\nЕсли в другом устройстве мобильный интернет работает, проверьте настройки точки доступа вашего устройства:\nЗайдите в настройки\niOS: Настройки → Сотовая связь → Сотовая сеть передачи данных.\nAndroid: Настройки → Беспроводные сети → Мобильная сеть → Точки доступа (APN).\nWindows Phone: Настройки → Передача данных → Добавить точку интернет-доступа.\nВведите данные:\nИмя настроек: может использоваться любое\nAPN: internet\nИмя пользователя / Username / Login: gdata или оставить пустое поле\nПароль / Password / Pass: gdata или оставить пустое поле\nТип APN: default\nMCC: 250\nMNC: 02\nБолее подробную информацию о настройках вашего устройства вы найдёте в инструкции к нему или на сайте его производителя.\nЕсли не работает мобильный интернет через модем / роутер:\nПроверьте баланс и при необходимости пополните его. Интернет работает только при положительном балансе. Чтобы проверить баланс, зайдите в Личный кабинет. Баланс отображается в верхней части страницы (справа) и на главной странице в блоке «Счёт». Если вы недавно пополнили счёт, подождите несколько минут, чтобы интернет заработал снова.\nПроверьте остаток по пакету интернета. Зайдите в Личный кабинет и в блоке «Услуги» выберите Остатки по пакетам услуг. Если включённый объём интернета закончился, подключите одну из опций для продления интернета.\nПерезагрузите устройство (выключите и включите).\nПереставьте SIM-карту в другое устройство (например, в смартфон). Если в другом устройстве мобильный интернет тоже не работает, обратитесь в ближайший салон МегаФона с документом, удостоверяющим личность, чтобы заменить SIM-карту. При замене SIM-карты номер телефона не изменится, услуга предоставляется бесплатно. Для поиска ближайшего салона МегаФона вы также можете воспользоваться командой *123#.\nЕсли в другом устройстве интернет работает, проверьте настройки точки доступа вашего устройства — APN: internet\nПереустановите приложение Megafon Internet.\nПопробуйте подключить модем / роутер к другому USB-порту компьютера.\nОтключите Wi-Fi на компьютере. На устройстве с SIM-картой МегаФона Wi-Fi должен оставаться включённым.\nОбновите ПО вашего модема / роутера. Последние версии программного обеспечения вы можете бесплатно скачать в интернет-магазине МегаФона. Найдите свой модем или роутер в каталоге и перейдите на вкладку «Файлы».","Что делать, если не работает мобильный интернет?"
"Когда вы устанавливаете в смартфон или планшет новую SIM-карту, настройки мобильного интернета задаются автоматически.\nПри необходимости проверьте настройки:\nЗайдите в настройки:\niOS: Настройки → Сотовая связь → Сотовая сеть передачи данных.\nAndroid: Настройки → Беспроводные сети → Мобильная сеть → Точки доступа (APN).\nWindows Phone: Настройки → Передача данных → Добавить точку интернет-доступа.\nВведите данные:\nИмя настроек: может использоваться любое\nAPN: internet\nИмя пользователя / Username / Login: gdata или оставить пустое поле\nПароль / Password / Pass: gdata или оставить пустое поле\nТип APN: default\nMCC: 250\nMNC: 02\nВключите режим «Передача данных»:\niOS: Настройки → Сотовая связь → Голос и данные → 2G/3G/LTE.\nAndroid: Настройки → Беспроводные сети → Мобильная сеть.\nWindows Phone: Настройки → Передача данных.","Как настроить мобильный интернет на смартфоне / планшете, использующих ОС iOS, Android или Windows Phone?"
"Показатели скорости мобильного интернета:\nТип сети	2G	3G	4G+\nСкорость передачи	до 384\nКбит/с	до 21,6\nМбит/с	до 300\nМбит/с*\nСтандарты	GPRS, EDGE	HSPA (HSDPA+\nHSUPA)	LTE\n* Средняя скорость скачивания в сети 4G+ — 20 Мбит/с. Пиковая скорость скачивания доходит до 300 Мбит/с. Подробная информация о скорости размещена в разделе Интернет 4G+.\nТехнические показатели и нормы, характеризующие качество телематических услуг связи и услуг связи по передаче данных, протоколы передачи данных, абонентские интерфейсы.\nФакторы, влияющие на скорость:\nСкорость передачи данных зависит от характеристик устройства, особенностей рельефа местности, материала стен здания, погодных условий и загруженности сети.","С какой скоростью происходит передача данных?"
"Проверьте остаток по пакету интернета. Откройте приложение МегаФон или зайдите в Личный кабинет и в блоке «Услуги» выберите Остатки по пакетам услуг. Если включённый объём интернета закончился, подключите одну из опций для продления интернета.\nПерезагрузите устройство (выключите и включите).\nЕсли вы пользуетесь устройством с двумя слотами для SIM-карт, вставьте SIM-карту в 1-й слот, т.к. в большинстве устройств только 1-й слот поддерживает сеть 3G/4G+.\nПроверьте уровень сигнала выбранной сети. Если уровень сигнала одной сети стабильнее, чем другой, в настройках устройства измените приоритет сети.\nДля 4G-модема:\nЕсли уровень сигнала 3G стабильнее, чем LTE, то в настройках приложения выберите «3G»:\nОтключитесь от сети Интернет.\nВыберите меню «Настройки».\nВ поле «Режим» выберите «Только 3G» вместо «Только LTE». Если в настройках выбран смешанный режим, переключите на режим «Только 3G».\nДля 3G-модема:\nОтключитесь от сети Интернет.\nВыберите меню «Настройки».\nВ поле «Режим» выберите «Только 2G» вместо «Только 3G». Если в настройках выбран смешанный режим, переключите на режим «Только 2G».\nВ смартфонах, планшетах:\nЗайдите в настройки:\niOS: Настройки → Сотовая связь → Сотовая сеть передачи данных.\nAndroid: Настройки → Беспроводные сети → Мобильная сеть → Точки доступа (APN).\nWindows Phone: Настройки → Передача данных → Добавить точку интернет-доступа.\nВыберите «Только 3G» вместо «Только LTE». Если в настройках выбран смешанный режим, переключите на режим «Только 3G».\nВозможно, ваше устройство или SIM-карта не поддерживают технологию 4G+, обеспечивающую высокоскоростной доступ в интернет.\nЧтобы узнать, какой тип покрытия и какая скорость интернета действует в вашем населённом пункте, посмотрите карту покрытия.\nПодробная информация размещена в разделе Интернет 4G+.\nСкорость передачи данных зависит от характеристик устройства, особенностей рельефа местности, материала стен здания, погодных условий и загруженности сети.\nПроверьте скорость доступа в интернет с помощью приложения Моя сеть, которое доступно клиентам МегаФона, использующим устройства с ОС Android, в приложении Play Маркет.","Что делать, если скорость интернет-соединения снизилась?"
"Для проверки остатка интернет-трафика, включённого в пакет услуг или по подключённым интернет-опциям, откройте приложение МегаФон или зайдите в Личный кабинет.","Как быстро узнать остаток интернет-трафика?"
"4G+ (или LTE) — это мобильный интернет со скоростью, не уступающей обычному проводному интернету. Страницы в браузере, файлы, музыка, видео, игры и приложения загружаются за считанные секунды.\nЧтобы начать пользоваться 4G+ вам необходимы смартфон и SIM-карта, которые поддерживают эту технологию.\nНаберите команду *507#, чтобы узнать, поддерживает ли ваша SIM-карта 4G+. Если нет — вы можете поменять её бесплатно в любом салоне МегаФона на USIM.\nПосле того, как вы вставите новую USIM в смартфон, выберите в настройках тип сети LTE.\nА если у вас смартфон с поддержкой двух SIM-карт, то USIM необходимо установить в 1-й слот.\nКогда вы подключаетесь к сети, устройство самостоятельно выбирает лучшую сеть с точки зрения качества сигнала. Для обеспечения максимальной скорости соединения подходит сеть с более уверенным приёмом. Не нужно переключать режим вручную и выполнять какие-либо другие действия. Устройство меняет сети автоматически, без обрыва соединения.","Что такое 4G+, как начать пользоваться и как происходит переход из сети 2G/3G в 4G+?"
"Зоны, где есть интернет 4G+, отмечены на карте покрытия сети «МегаФон». Если ваше устройство находится в сети 4G, на экране отобразится значок «4G» или «LTE».","Где работает интернет 4G+? Как узнать, что телефон находится в сети 4G+?"
"В первую очередь в зону покрытия 4G+ попадают региональные центры и крупные города. Модули 4G+ появляются, прежде всего, в наиболее оживлённых районах города, преимущественно в центре. Если в вашем городе уже есть 4G, то можете ожидать появления 4G+ в ближайшем будущем.\nПосмотреть карту покрытия вашего города, а также проверить скорость интернета, можно в приложении Моя сеть, которое доступно клиентам МегаФона, использующим устройства с ОС Android, в приложении Play Маркет.","Когда 4G+ появится в моём городе?"
"Установите в модем SIM-карту.\nВключите компьютер, дождитесь полной загрузки и через USB-порт подключите модем.\nПри первом подключении операционная система автоматически установит необходимое программное обеспечение, с помощью которого вы будете выходить в интернет и отслеживать статистику соединений — длительность подключения и объём переданных данных.\nИнструкции и последние версии программного обеспечения можно бесплатно скачать в интернет-магазине МегаФона. Найдите свой модем или роутер в каталоге и выберите вкладку «Файлы».","Как подключить USB-модем?"
"Чтобы улучшить сигнал, используйте USB-удлинитель и разместите модем как можно ближе к окну. Для усиления сигнала вы также можете использовать антенное оборудование, представленное в нашем интернет-магазине.\nДополнительно попробуйте зарегистрировать модем в сетях 2G. Скорость подключения будет ниже, но доступ в интернет — стабильнее. Для этого:\nОткройте программу MegaFon Internet.\nОтключитесь от сети Интернет.\nОткройте «Настройки».\nВ поле «Режим» выберите «Только 2G» вместо «Только 3G».\nБолее подробную информацию о работе модема или роутера в сетях 3G и 4G+ смотрите в инструкции к устройству. Там же будут указаны значения индикаторов и способы устранения возможных неполадок.\nЧтобы получить консультацию специалиста и проверить работоспособность устройства, обратитесь в салон МегаФона с модемом и документами к нему.","Что делать, если модем работает какое-то время, затем произвольно отключается?"
"Зайдите в интернет-магазин МегаФона. В описании устройств представлены подробные технические характеристики, инструкции по настройке и эксплуатации, а также файлы для обновления программного обеспечения.\nРегулярное обновление программного обеспечения ― залог бесперебойной работы и способ повысить производительность мобильного устройства. В последних версиях ПО добавляются новые функции, улучшается стабильность соединения, повышается скорость передачи данных и устраняются неполадки.","Где можно найти информацию о фирменных устройствах МегаФона, а также скачать инструкции и драйверы для них?"
"Откройте страницу входа Личного кабинета, введите свой номер телефона, пароль и нажмите кнопку «Войти». Номер можно набирать в любом формате — начиная с «8», «+7» или «92Х YYY-YY-YY». Чтобы получить пароль, наберите на телефоне команду *105*00# или отправьте бесплатное SMS с цифрами 00 на номер 000105. Пароль придёт по SMS.\nЕсли планшет, модем или роутер не принимают SMS, получить пароль можно переставив SIM-карту в телефон. Рекомендуем сменить пароль в Личном кабинете в разделе Настройки входа. Для получения пароля в мобильном приложении «МегаФон» Личный кабинет вы можете нажать на кнопку «Получить пароль по SMS».","Как войти в Личный кабинет?"
"Зайдите в Личный кабинет, выберите Настройки входа. Введите текущий пароль в поле «Старый пароль», введите новый пароль и нажмите «Сменить пароль».\nДля получения нового пароля наберите USSD-команду *105*00# или отправьте бесплатное SMS с цифрами 00 на номер 000105. Вы получите SMS с новым паролем.","Как сменить пароль?"
"Вы можете включить автовход в разделе Настройки входа, чтобы не вводить логин и пароль каждый раз. Автовход работает на смартфоне, планшете или компьютере с SIM-картой МегаФона или на устройстве, подключённом к интернету через модем или роутер МегаФона.\nЕсли входить в Личный кабинет с компьютера, подключённого к интернету не через сеть МегаФона, номер телефона и пароль нужно вводить при каждом входе.\nВнимание!\nЕсли вы активировали автовход в Личный кабинет, то при раздаче Wi-Fi с вашего устройства, другие пользователи смогут зайти в ваш Личный кабинет без пароля.","Как настроить Личный кабинет, чтобы не вводить номер телефона и пароль каждый раз при входе?"
"В разделе Настройки входа вы можете включить SMS-уведомление о входе в Личный кабинет. Каждый раз, когда под вашим номером и паролем кто-то зайдёт в Личный кабинет, придёт уведомление по SMS.","Как я могу узнать, что кто-то вошёл в мой Личный кабинет?"
"Личный кабинет — это бесплатный сервис для всех абонентов МегаФона. При использовании Личного кабинета трафик бесплатный, интернет на вашем тарифе или интернет-опции не расходуется дома и в поездках по России за исключением Республики Крым и г. Севастополь. В поездках по миру трафик в приложении оплачивается по роуминговому тарифу, поэтому рекомендуем для экономии пользоваться Личным кабинетом по Wi-Fi.","Личный кабинет — это платный сервис?"
"На главной странице Личного кабинета вы можете пополнить свой счёт, а также счёт другого абонента Мегафона банковской картой или единой картой оплаты. Чтобы не беспокоится о состоянии счёта, настройте Автоплатёж. А если нет возможности оплатить прямо сейчас, воспользуйтесь услугой Обещанный платёж.\nДля просмотра истории пополнения счёта на главном экране выберите раздел Расходы, пополнения и детализация.","Как пополнить счёт?"
"Нажмите кнопку Настройки выберите вкладку Журнал операций. На странице отобразятся все основные действия по вашему номеру, выполненные в Личном кабинете или другими способами, например, с помощью USSD-команд.","Как посмотреть историю операций в Личном кабинете?"
"Изменив личные данные в настройках Личного кабинета, невозможно переоформить номер на другого человека. Для переоформления обратитесь в ближайший салон МегаФона вместе с человеком, на которого хотите переоформить номер, и заполните заявление.","Можно ли в Личном кабинете переоформить номер на другого человека?"
"Воспользуйтесь любым удобным способом:\nДля телефона или смартфона:\nЗайдите в Личный кабинет. Баланс будет виден на главной странице.\nНаберите бесплатную команду *100#. Баланс отобразится на экране.\nПозвоните на бесплатный номер 0501, и автоинформатор сообщит вам баланс.\nОтправьте SMS с любым текстом, в том числе пустое, на номер 000100. Информация о балансе придёт в SMS. Исходящие SMS в Домашнем регионе бесплатны, в роуминге оплачиваются как исходящие SMS в регионе/стране пребывания.\nЧтобы сумма на счёте всегда отображалась на экране телефона, подключите услугу Живой баланс.\nЧтобы узнавать баланс других абонентов МегаФона (родственников или друзей), подключите услугу Баланс близких.\nДля планшета или компьютера через USB-модем с SIM-картой МегаФона:\nЗайдите в Личный кабинет. Баланс будет виден на главной странице.\nВойдите в интернет, подключившись через мобильный интернет МегаФона, и зайдите на сайт megafon.ru. Ваш баланс отобразится на главной странице в блоке «Личный кабинет», а на остальных страницах сайта — в верхней части экрана.","Как узнать баланс?"
"Возможно, сервис перегружен. Попробуйте повторить запрос через одну-две минуты или воспользуйтесь другим способом проверки баланса.","Я набираю команду для запроса баланса, а баланс не отображается. Почему?"
"Выберите любой удобный способ:\nПополните счёт с банковской карты или электронного кошелька в разделе ​Оплата.\nНастройте ​Автоплатёж самостоятельно в Личном кабинете на сайте или обратитесь за помощью к специалисту в ​салоне МегаФона. С этой услугой баланс будет пополняться автоматически с вашей банковской карты, когда сумма на счёте снизится до установленного порога. Например, можно установить автоплатёж на 200 ₽, когда на счёте остаётся меньше 50 ₽.\nПереведите деньги с банковской карты или активируйте ​Единую карту оплаты МегаФона в Личном кабинете.\nАктивируйте скидку на счёт за баллы ​МегаФон-Бонус.\nСкидка — виртуальная сумма на балансе, которую можно тратить на услуги связи. Активировать бонусы можно не только на свой номер, но и на номер другого абонента МегаФона. Для того, чтобы проверить свой бонусный баланс и активировать баллы, зайдите в ​Личный кабинет и нажмите на кнопку «​Потратить бонусы».\nАктивировать бонусы можно только при положительном балансе.\nДругой абонент МегаФона может перевести вам деньги со своего счёта с помощью услуги ​Мобильный перевод. Для этого ему нужно набрать команду *133*сумма перевода*номер абонента# . Номер получателя можно набирать в любом формате — начиная с «+7», «8» или без префикса (например, 9YYXXXXXXX). Размер комиссии за перевод указывается при каждом платеже.\nПополните счёт наличными без комиссии в любом ​салоне МегаФона. Чтобы узнать адрес ближайшего салона, наберите бесплатную команду *123#\nПлатежи без комиссии также принимают в салонах «Евросеть», «Связной».\nВоспользуйтесь платёжными терминалами (QIWI, «Элекснет» и др.). Размер комиссии отображается на экране терминала перед подтверждением платежа.\nЕсли вы клиент Сбербанка и ваша банковская карта привязана к номеру телефона, укажите нужную сумму в SMS и отправьте на номер 900 или воспользуйтесь приложением «Сбербанк-Онлайн».","Как пополнить счёт?"
"Чтобы позвонить при недостаточном балансе, воспользуйтесь услугой Звонок за счёт друга, и ваш собеседник оплатит разговор.\nНаберите «000» и номер абонента, начиная с «8» или «7», например: 000792ХXXXXXXX.\nУслуга действует только для звонков на номера МегаФона.\nЧтобы зачислить на счёт условную сумму в любое удобное время и продолжать пользоваться услугами мобильной связи, активируйте Обещанный платёж, набрав команду *106#. Услуга платная.\nВоспользуйтесь услугой Позвони мне, и ваш собеседник получит SMS с просьбой перезвонить вам.\nНаберите *144*номер абонента, которому адресована просьба#.\nНомер абонента можно набирать в любом формате, например:\n*144*792XXXXXXXХ#. Услуга предоставляется бесплатно.\nВоспользуйтесь услугой Заплати за меня, и ваш собеседник получит SMS с просьбой пополнить ваш счёт.\nНаберите *143*номер абонента, которому адресована просьба#.\nНомер абонента можно набирать в любом формате, например:\n*143*792XXXXXXXХ#","Как оставаться на связи при отрицательном или нулевом балансе?"
"Воспользуйтесь бесплатной услугой Заплати за меня.\nНаберите команду *143*номер абонента, которому адресована просьба#.\nНомер абонента можно набирать в любом формате, например:\n*143*92XXXXXXXХ#\nВы можете отправить:\nне более 5 запросов в сутки;\nне более 30 запросов в календарный месяц.","Как попросить знакомого пополнить мой счёт, если у меня нет денег на звонок или сообщение?"
"Воспользуйтесь любым удобным способом:\nЗакажите детализацию в разделе «Расходы, пополнения и детализация» Личного кабинета и получите полный отчёт о расходах на звонки, сообщения и другие услуги, которыми вы пользовались за выбранный период. Заказать детализацию через Личный кабинет можно за любой период в пределах последних 6 месяцев.\nНаберите бесплатную команду *512#, и вам придёт SMS с информацией о последних расходах — даты и время звонков, сообщений и выходов в интернет.\nОбратите внимание! В роуминге информация о действиях по номеру и балансе может обновляться с задержкой.","Как узнать, за что были списаны деньги со счёта?"
"Деньги зачисляются на счёт в течение 30 минут. Если через полчаса платёж так и не поступил, проверьте, правильно ли указан номер на чеке, и свяжитесь со службой поддержки платёжной системы. Номер телефона указан на чеке.\nЕсли вы ошибочно пополнили счёт другого номера МегаФона, вернуть платёж можно, позвонив по бесплатному номеру ​8—800—550—70—95.\nПереоформить платёж по телефону можно, если:\nоба номера — ваш и тот, который вы ошибочно пополнили, — зарегистрированы в МегаФоне и оформлены на физических лиц;\nв номере допущено не более двух ошибок.\nВ других случаях обратитесь с чеком и паспортом в ближайший ​​​салон МегаФона. Заполните заявление, и платёж будет перечислен на ваш номер, если на другом номере есть достаточная сумма.\nЕсли вы ошибочно пополнили номер другого оператора, обратитесь в пункт оплаты или в офис этого оператора. Чтобы узнать, к какому оператору относится мобильный номер, наберите бесплатную команду *629# или зайдите на страницу Телефонные коды.","Что делать, если платёж на номер не поступил?"
"Если вы ошиблись и случайно пополнили счёт чужого номера МегаФона, позвоните на бесплатный номер ​8—800—550—70—95, и вы сможете переоформить платёж в интерактивном режиме.\nПереоформить платёж по телефону можно, если:\nоба номера — ваш и тот, который вы ошибочно пополнили, — зарегистрированы в МегаФоне и оформлены на физических лиц;\nв номере допущено не более двух ошибок.\nВ остальных случаях обратитесь с чеком и паспортом в ближайший салон МегаФона. Заполните заявление, и платёж будет перечислен на ваш номер при условии, что на этом счёте есть достаточная сумма.\nЕсли вы случайно перечислили на счёт больше, чем планировали, обратитесь в салон МегаФона.\nЕсли вы ошибочно отправили деньги на номер другого оператора, обратитесь в пункт оплаты или в офис этого оператора. Чтобы узнать, к какому оператору относится мобильный номер, наберите бесплатную команду *629# или зайдите на страницу Телефонные коды.","Что делать, если при оплате я неправильно набрал номер или сумму?"
"В Личном кабинете выберите «Расходы, пополнения и детализация». Нажмите кнопку «Заказать детализацию». Укажите период, за который хотите получить отчёт, и адрес электронной почты.\nЗаказать детализацию можно также с мобильного телефона, набрав бесплатную команду *512#. Информация о последних расходах — даты и время звонков, сообщений и выходов в интернет — придёт по SMS.","Как получить разовую детализацию счёта?"
"В Личном кабинете в разделе «Счёт» выберите «Расходы, пополнения и детализация». Далее нажмите на кнопку «Заказать счёт», затем выберите подраздел — «За один месяц» или «Ежемесячные отчёты». Выберите формат отчёта (HTML или PDF), введите email и подтвердите отправку счёта.\nВыберите «Ежемесячные отчёты», чтобы раз в месяц получать отчёт о ваших расходах на услуги связи.","Как заказать отчёт за месяц?"
"Подключите услугу Баланс близких, и вы сможете в любой момент проверить баланс родственников и друзей.","Как узнать баланс близкого человека?"
